,artist,style,museum_name,lat,lon,museum_location,museum_link
597,Fernand Leger,cubism,Norton Simon Museum,34.1463727,-118.15925901546419,"Pasadena, California",http://www.artcyclopedia.com/scripts/r.pl?R409+190
598,Fernand Leger,cubism,Peggy Guggenheim Collection,45.4307957,12.3316929,Venice,http://www.artcyclopedia.com/scripts/r.pl?R622+194
599,Fernand Leger,cubism,Réunion des Musées Nationaux,48.8478623,2.3681659,France ,http://www.artcyclopedia.com/scripts/r.pl?RP02+118
600,Fernand Leger,cubism,Fernand Leger at the Smithsonian American Art Museum,0.0,0.0,Washington D.C.,http://www.artcyclopedia.com/scripts/r.pl?R209+438
601,Fernand Leger,cubism,Tate Gallery,51.5078947,-0.0996448,"London, UK",http://www.artcyclopedia.com/scripts/r.pl?R031+239
602,Fernand Leger,cubism,Allen Art Museum at Oberlin College,0.0,0.0,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R061+129
603,Fernand Leger,cubism,Art Collection of the Biblioteca Luis Ángel Arango,0.0,0.0,Colombia,http://www.artcyclopedia.com/scripts/r.pl?RH21+38
604,Fernand Leger,cubism,Art Gallery of Ontario,43.6536128,-79.39278002828382,Toronto ,http://www.artcyclopedia.com/scripts/r.pl?RH61+15
605,Fernand Leger,cubism,Bilbao Fine Arts Museum,43.265617500000005,-2.938209613686145,Spain,http://www.artcyclopedia.com/scripts/r.pl?RG87+146
607,Fernand Leger,cubism,Caixa Galicia Foundation,0.0,0.0,"Vigo, Spain ",http://www.artcyclopedia.com/scripts/r.pl?RN61+9
608,Fernand Leger,cubism,Centre Pompidou,48.860591799999995,2.352474317665342,Paris ,http://www.artcyclopedia.com/scripts/r.pl?RR86+12
609,Fernand Leger,cubism,Cleveland Museum of Art,41.5090438,-81.61173672190631,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R007+317
610,Fernand Leger,cubism,Didrichsen Art Museum,60.185272850000004,24.856246260986467,"Helsinki, Finland",http://www.artcyclopedia.com/scripts/r.pl?RA49+3
611,Fernand Leger,cubism,Fondation de l'Hermitage,46.5281559,6.6371996199890955,"Lausanne, Switzerland",http://www.artcyclopedia.com/scripts/r.pl?RP24+10
612,Fernand Leger,cubism,Fundación Proa,-34.63989685,-58.36210172560976,Buenos Aires ,http://www.artcyclopedia.com/scripts/r.pl?R572+29
613,Fernand Leger,cubism,Hammer Museum,34.0591533,-118.4436421,California,http://www.artcyclopedia.com/scripts/r.pl?RJ27+137
615,Fernand Leger,cubism,Harvard University Art Museums,0.0,0.0,Massachusetts,http://www.artcyclopedia.com/scripts/r.pl?RL59+684
616,Fernand Leger,cubism,Hirshhorn Museum and Sculpture Garden,0.0,0.0,Washington D.C.,http://www.artcyclopedia.com/scripts/r.pl?RB77+275
617,Fernand Leger,cubism,Indianapolis Museum of Art,39.82596175,-86.18583890576329,Indiana,http://www.artcyclopedia.com/scripts/r.pl?R122+462
619,Fernand Leger,cubism,Kimbell Art Museum,32.74854885,-97.36508003561465,"Fort Worth, Texas",http://www.artcyclopedia.com/scripts/r.pl?RB76+57
620,Fernand Leger,cubism,Kröller-Müller Museum,52.09591345,5.817829842933769,"Otterlo, Netherlands",http://www.artcyclopedia.com/scripts/r.pl?R685+14
621,Fernand Leger,cubism,Kunsthaus Zurich,47.3702241,8.547979746081108,,http://www.artcyclopedia.com/scripts/r.pl?R559+38
622,Fernand Leger,cubism,Kunstmuseum Basel,47.5545323,7.5943314,Switzerland,http://www.artcyclopedia.com/scripts/r.pl?R302+129
623,Fernand Leger,cubism,Los Angeles County Museum of Art,34.063736199999994,-118.35890315746158,,http://www.artcyclopedia.com/scripts/r.pl?RE85+1585
624,Fernand Leger,cubism,Manchester City Art Gallery,53.4786409,-2.2414174661238158,UK,http://www.artcyclopedia.com/scripts/r.pl?RA27+187
625,Fernand Leger,cubism,Mildred Lane Kemper Art Museum,38.647127499999996,-90.30266112432794,"St. Louis, Missouri",http://www.artcyclopedia.com/scripts/r.pl?R359+403
626,Fernand Leger,cubism,Milwaukee Art Museum,43.03980975,-87.89705832463345,Wisconsin,http://www.artcyclopedia.com/scripts/r.pl?R365+125
627,Fernand Leger,cubism,Minneapolis Institute of Arts,44.95859455,-93.27415255541163,Minnesota,http://www.artcyclopedia.com/scripts/r.pl?R603+264
628,Fernand Leger,cubism,Musée de Grenoble,45.1949735,5.732253035706579,France ,http://www.artcyclopedia.com/scripts/r.pl?R981+1
629,Fernand Leger,cubism,Musée des Beaux-Arts de Lyon,45.7667123,4.833654247252747,France ,http://www.artcyclopedia.com/scripts/r.pl?RQ43+58
630,Fernand Leger,cubism,Museo Nacional de Bellas Artes,-34.5839152,-58.392915186234035,"Buenos Aires, Argentina ",http://www.artcyclopedia.com/scripts/r.pl?RK48+35
631,Fernand Leger,cubism,Museu de Arte de São Paulo,-23.56150875,-46.65596048644724,Brazil ,http://www.artcyclopedia.com/scripts/r.pl?RA73+45
633,Fernand Leger,cubism,Muzeum Sztuki,38.6956474,-9.20931,"Lodz, Poland",http://www.artcyclopedia.com/scripts/r.pl?RM12+24
634,Fernand Leger,cubism,National Gallery of Victoria,-37.822610499999996,144.968900122702,Australia,http://www.artcyclopedia.com/scripts/r.pl?R372+235
635,Fernand Leger,cubism,National Museum of Western Art,35.7155512,139.77594895767834,Tokyo,http://www.artcyclopedia.com/scripts/r.pl?R427+97
636,Fernand Leger,cubism,Österreichische Galerie Belvedere,48.1857971,16.38384914726774,Vienna,http://www.artcyclopedia.com/scripts/r.pl?RC46+63
637,Fernand Leger,cubism,Palazzo Magnani,44.4955428,11.3486339,"Reggio Emilia, Italy ",http://www.artcyclopedia.com/scripts/r.pl?RJ20+11
639,Fernand Leger,cubism,Palazzo Ruspoli,41.99921565,12.099974699506582,Rome ,http://www.artcyclopedia.com/scripts/r.pl?RD20+55
640,Fernand Leger,cubism,Philadelphia Museum of Art,39.965563849999995,-75.18151277315162,,http://www.artcyclopedia.com/scripts/r.pl?R077+216
641,Fernand Leger,cubism,Portland Museum of Art,43.6538904,-70.262585,Maine,http://www.artcyclopedia.com/scripts/r.pl?R072+3
643,Fernand Leger,cubism,Reina Sofía National Museum,0.0,0.0,Madrid ,http://www.artcyclopedia.com/scripts/r.pl?RH53+89
644,Fernand Leger,cubism,Royal Museums of Fine Arts of Belgium Catalogue,0.0,0.0,,http://www.artcyclopedia.com/scripts/r.pl?RH73+264
645,Fernand Leger,cubism,San Diego Museum of Art,32.7321695,-117.1504503,California,http://www.artcyclopedia.com/scripts/r.pl?R418+653
646,Fernand Leger,cubism,State Museums of Florence,0.0,0.0,Italy,http://www.artcyclopedia.com/scripts/r.pl?RD91+19
647,Fernand Leger,cubism,State Museums of Florence Digital Archive,0.0,0.0,Italy,http://www.artcyclopedia.com/scripts/r.pl?RO82+468
648,Fernand Leger,cubism,Tel Aviv Museum of Art,0.0,0.0,Israel,http://www.artcyclopedia.com/scripts/r.pl?R986+10
649,Fernand Leger,cubism,The Albertina,48.2046365,16.3682605,Vienna,http://www.artcyclopedia.com/scripts/r.pl?RA09+31
651,Fernand Leger,cubism,The Albertina Graphic Art Databank,0.0,0.0,Vienna ,http://www.artcyclopedia.com/scripts/r.pl?RA90+243
652,Fernand Leger,cubism,The Menil Collection,29.737287950000002,-95.39846526631328,Texas,http://www.artcyclopedia.com/scripts/r.pl?R831+9
